"phecode","phecode_string","sex","leaf","phecode_top","category"
"756","Other congenital musculoskeletal anomalies","Both",0,"756","congenital anomalies"
"757","Congenital anomalies of the integument","Both",1,"757","congenital anomalies"
"758","Chromosomal anomalies and genetic disorders","Both",0,"758","congenital anomalies"
"759","Other and unspecified congenital anomalies","Both",0,"759","congenital anomalies"
"760","Back pain","Both",1,"760","symptoms"
"761","Cervicalgia","Both",1,"761","symptoms"
"763","Thoracic or lumbosacral neuritis or radiculitis, unspecified","Both",1,"763","symptoms"
"764","Sciatica","Both",1,"764","symptoms"
"765","Cervical radiculitis","Both",1,"765","symptoms"
"766","Neuralgia, neuritis, and radiculitis NOS","Both",1,"766","symptoms"
"767","Cervicocranial/Cervicobrachial syndrome","Both",1,"767","symptoms"
"769","Nonallopathic lesions NEC","Both",1,"769","symptoms"
"770","Myalgia and myositis unspecified","Both",1,"770","symptoms"
"771","Musculoskeletal symptoms referable to limbs","Both",1,"771","symptoms"
"772","Symptoms of the muscles","Both",1,"772","symptoms"
"773","Pain in limb","Both",0,"773","symptoms"
"264.2","Failure to thrive (childhood)","Both",1,"264","endocrine/metabolic"
"780","Hypothermia/Chills","Both",1,"780","symptoms"
"781","Symptoms involving nervous and musculoskeletal systems","Both",1,"781","symptoms"
"782","Symptoms involving skin and other integumentary tissue","Both",1,"782","symptoms"
"783","Fever of unknown origin","Both",0,"783","symptoms"
"785","Abdominal pain","Both",1,"785","symptoms"
"788","Syncope and collapse","Both",1,"788","symptoms"
"789","Nausea and vomiting","Both",0,"789","symptoms"
"790","Nonspecific findings on examination of blood","Both",1,"790","symptoms"
"790.1","Elevated sedimentation rate","Both",1,"790.1","symptoms"
"791","Gangrene","Both",1,"791","symptoms"
"792","Abnormal Papanicolaou smear of cervix and cervical HPV","Female",0,"792","genitourinary"
"794","Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)","Both",1,"794","symptoms"
"795","Other and nonspecific abnormal cytological, histological and immunological findings","Both",1,"795","symptoms"
"796","Elevated prostate specific antigen [PSA]","Male",1,"796","genitourinary"
"797","Shock","Both",0,"797","symptoms"
"798","Malaise and fatigue","Both",0,"798","symptoms"
"798.1","Chronic fatigue syndrome","Both",1,"798","symptoms"
"799","Debility unspecified","Both",0,"799","symptoms"
"800","Fracture of lower limb","Both",0,"800","injuries & poisonings"
"805","Fracture of vertebral column without mention of spinal cord injury","Both",1,"805","injuries & poisonings"
"807","Fracture of ribs","Both",1,"807","injuries & poisonings"
"802","Fracture of pelvis","Both",1,"802","injuries & poisonings"
"803.3","Fracture of clavicle or scapula","Both",1,"803","injuries & poisonings"
"823","Torus fracture","Both",1,"823","injuries & poisonings"
"830","Dislocation","Both",1,"830","injuries & poisonings"
"840","Sprains and strains","Both",0,"840","injuries & poisonings"
"817","Concussion","Both",1,"817","injuries & poisonings"
"816","Cerebral laceration and contusion","Both",1,"816","injuries & poisonings"
"818","Intracranial hemorrhage (injury)","Both",0,"818","injuries & poisonings"
"854","Complications of cardiac/vascular device, implant, and graft","Both",1,"854","injuries & poisonings"
"851","Complications of transplants and reattached limbs","Both",1,"851","injuries & poisonings"
"870","Open wounds of head; neck; and trunk","Both",0,"870","injuries & poisonings"
"905","Late effects of musculoskeletal and connective tissue injuries","Both",1,"905","injuries & poisonings"
"906","Late effects of injuries to skin and subcutaneous tissues","Both",0,"906","injuries & poisonings"
"907","Injuries to the nervous system","Both",1,"907","injuries & poisonings"
"908","Late effects of other injuries","Both",0,"908","injuries & poisonings"
"909","Late effects of external causes","Both",0,"909","injuries & poisonings"
"910","Superficial injury, infected","Both",1,"910","injuries & poisonings"
"930","Allergic reaction to food","Both",1,"930","injuries & poisonings"
"931","Contact dermatitis and other eczema due to plants [except food]","Both",1,"931","dermatologic"
"938","Dermatitis due to solar radiation","Both",0,"938","dermatologic"
"939","Atopic/contact dermatitis due to other or unspecified","Both",0,"939","dermatologic"
"952","Spinal cord injury without evidence of spinal bone injury","Both",1,"952","injuries & poisonings"
"957","Injury to other and unspecified nerves","Both",1,"957","injuries & poisonings"
"958","Certain early complications of trauma or procedure","Both",0,"958","injuries & poisonings"
"960","Poisoning by antibiotics","Both",0,"960","injuries & poisonings"
"961","Poisoning by other anti-infectives","Both",1,"961","injuries & poisonings"
"962","Poisoning by hormones and synthetic substitutes","Both",0,"962","injuries & poisonings"
"963","Poisoning by primarily systemic agents","Both",0,"963","injuries & poisonings"
"964","Poisoning by agents primarily affecting blood constituents","Both",0,"964","injuries & poisonings"
"965","Poisoning by analgesics, antipyretics, and antirheumatics","Both",0,"965","injuries & poisonings"
"966","Poisoning by anticonvulsants and anti-Parkinsonism drugs","Both",1,"966","injuries & poisonings"
"967","Adverse effects of sedatives or other central nervous system depressants and anesthetics","Both",1,"967","injuries & poisonings"
"969","Poisoning by psychotropic agents","Both",1,"969","injuries & poisonings"
"971","Poisoning by drugs primarily affecting the autonomic nervous system","Both",1,"971","injuries & poisonings"
"972","Poisoning by agents primarily affecting the cardiovascular system","Both",0,"972","injuries & poisonings"
"973","Poisoning by agents primarily affecting the gastrointestinal system","Both",1,"973","injuries & poisonings"
"974","Poisoning by water, mineral, and uric acid metabolism drugs","Both",1,"974","injuries & poisonings"
"975","Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system","Both",1,"975","injuries & poisonings"
"976","Poisoning by agents primarily affecting skin & mucous membrane, ophthalmological, otorhinolaryngological, & dental drugs","Both",1,"976","injuries & poisonings"
"977","Personal history of allergy to medicinal agents","Both",1,"977","injuries & poisonings"
"981","Toxic effect of (non-ethyl) alcohol and petroleum and other solvents","Both",1,"981","injuries & poisonings"
"983","Toxic effect of corrosive aromatics, acids, and caustic alkalis","Both",1,"983","injuries & poisonings"
"984","Toxic effect of lead and its compounds (including fumes)","Both",1,"984","injuries & poisonings"
"985","Toxic effect of other metals","Both",1,"985","injuries & poisonings"
"986","Toxic effect of carbon monoxide","Both",1,"986","injuries & poisonings"
"987","Toxic effect of other gases, fumes, or vapors","Both",1,"987","injuries & poisonings"
"988","Toxic effect of noxious substances eaten as food","Both",1,"988","injuries & poisonings"
"989","Toxic effect of other substances, chiefly nonmedicinal as to source","Both",1,"989","injuries & poisonings"
"990","Effects radiation NOS","Both",1,"990","injuries & poisonings"
"994","Sepsis and SIRS","Both",0,"994","injuries & poisonings"
"996","Complications peculiar to certain specified procedures","Both",0,"996","injuries & poisonings"
"946","Anaphylactic shock NOS","Both",1,"946","injuries & poisonings"
"297","Suicidal ideation or attempt","Both",0,"297","mental disorders"
"250.3","Insulin pump user","Both",1,"250","endocrine/metabolic"
"315.1","Learning disorder","Both",1,"315.1","mental disorders"
"315.2","Speech and language disorder","Both",1,"315","mental disorders"
"530.1","Esophagitis, GERD and related diseases","Both",0,"530","digestive"
"327.4","Insomnia","Both",0,"327","neurological"
"300.3","Obsessive-compulsive disorders","Both",1,"300","mental disorders"
"302.1","Decreased libido","Both",1,"302","mental disorders"
"276.1","Electrolyte imbalance","Both",0,"276","endocrine/metabolic"
"782.3","Edema","Both",1,"782.3","symptoms"
"704.1","Alopecia","Both",0,"704","dermatologic"
"704.2","Hirsutism","Both",1,"704.2","dermatologic"
"695.3","Rosacea","Both",1,"695","dermatologic"
"795.8","Abnormal tumor markers","Both",0,"795.8","symptoms"
"252.1","Hyperparathyroidism","Both",1,"252","endocrine/metabolic"
"272.1","Hyperlipidemia","Both",0,"272","endocrine/metabolic"
"599.1","Urinary obstruction","Both",1,"599.1","genitourinary"
"599.2","Retention of urine","Both",1,"599.2","genitourinary"
"358.1","Myasthenia gravis","Both",1,"358","neurological"
"244.1","Secondary hypothyroidism","Both",1,"244","endocrine/metabolic"
"242.1","Graves' disease","Both",1,"242","endocrine/metabolic"
"710.2","Periostitis","Both",1,"710","musculoskeletal"
"456","Chronic venous insufficiency [CVI]","Both",1,"456","circulatory system"
"1004","Other signs and symptoms involving emotional state","Both",0,"1004","symptoms"
"782.6","Pallor and flushing","Both",1,"782.6","symptoms"
"790.8","Elevated C-reactive protein (CRP)","Both",1,"790.8","symptoms"
"790.9","Abnormal arterial blood gases","Both",1,"790.9","symptoms"
"793.2","Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)","Both",0,"793.2","symptoms"
"803","Fracture of upper limb","Both",0,"803","injuries & poisonings"
"873","Broken tooth","Both",0,"873","injuries & poisonings"
"871","Open wounds of extremities","Both",0,"871","injuries & poisonings"
"870.2","Open wound of ear","Both",1,"870","injuries & poisonings"
"911","Blister","Both",1,"911","injuries & poisonings"
"912","Insect bite","Both",1,"912","injuries & poisonings"
"913","Toxic effect of venom","Both",1,"913","injuries & poisonings"
"367.1","Myopia","Both",1,"367","sense organs"
"367.2","Astigmatism","Both",1,"367","sense organs"
"367.4","Presbyopia","Both",0,"367","sense organs"
"285.1","Acute posthemorrhagic anemia","Both",1,"285","hematopoietic"
"285.2","Anemia of chronic disease","Both",0,"285","hematopoietic"
"709.2","Sicca syndrome","Both",1,"709","dermatologic"
"733.6","Costochondritis","Both",1,"733.6","musculoskeletal"
"379.2","Disorders of vitreous body","Both",1,"379","sense organs"
"379.9","Pain, swelling or discharge of eye","Both",1,"379.9","sense organs"
"380.4","Impacted cerumen","Both",1,"380.4","sense organs"
"041.2","Streptococcus infection","Both",0,"041","infectious diseases"
"041.21","Rheumatic fever / chorea","Both",1,"041","infectious diseases"
"070.4","Chronic hepatitis","Both",1,"070.4","infectious diseases"
"710.1","Osteomyelitis","Both",0,"710","musculoskeletal"
"155.1","Malignant neoplasm of liver, primary","Both",1,"155","neoplasms"
"170.1","Bone cancer","Both",1,"170","neoplasms"
"172.1","Melanomas of skin, dx or hx","Both",0,"172","neoplasms"
"174.1","Breast cancer [female]","Female",0,"174","neoplasms"
"180.1","Cervical cancer","Female",1,"180","neoplasms"
"184.1","Malignant neoplasm of ovary and other uterine adnexa","Female",0,"184","neoplasms"
"187.1","Malignant neoplasm of unspecified male genital organ","Male",1,"187","neoplasms"
"189.1","Cancer of kidney and renal pelvis","Both",0,"189","neoplasms"
"191.1","Cancer of brain and nervous system","Both",0,"191","neoplasms"
"195.1","Malignant neoplasm, other","Both",1,"195","neoplasms"
"200.1","Polycythemia vera","Both",1,"200","neoplasms"
"204.1","Lymphoid leukemia","Both",0,"204","neoplasms"
"289.3","Personal history of diseases of blood and blood-forming organs","Both",1,"289","hematopoietic"
"165.1","Cancer of bronchus; lung","Both",1,"165","neoplasms"
"531.1","Hemorrhage from gastrointestinal ulcer","Both",1,"531","digestive"
"592.1","Cystitis","Both",0,"592","genitourinary"
"426.2","Atrioventricular [AV] block","Both",0,"426","circulatory system"
"426.21","First degree AV block","Both",1,"426","circulatory system"
"426.22","Mobitz II AV block","Both",1,"426","circulatory system"
"426.32","Left bundle branch block","Both",1,"426","circulatory system"
"426.31","Right bundle branch block","Both",1,"426","circulatory system"
"426.3","Bundle branch block","Both",0,"426","circulatory system"
"426.23","Second degree AV block","Both",1,"426","circulatory system"
"362.8","Retinal hemorrhage/ischemia","Both",1,"362","sense organs"
"360.2","Progressive myopia","Both",1,"360","sense organs"
"429.3","Symptoms involving cardiovascular system","Both",1,"429","circulatory system"
"427.8","Sinoatrial node dysfunction (Bradycardia)","Both",1,"427","circulatory system"
"427.4","Cardiac arrest and ventricular fibrillation","Both",0,"427","circulatory system"
"427.6","Premature beats","Both",0,"427","circulatory system"
"427.11","Paroxysmal supraventricular tachycardia","Both",1,"427","circulatory system"
"427.12","Paroxysmal ventricular tachycardia","Both",1,"427","circulatory system"
"296.22","Major depressive disorder","Both",1,"296","mental disorders"
"724.1","Disorders of sacrum","Both",1,"724","musculoskeletal"
"555.1","Regional enteritis","Both",1,"555","digestive"
"041.4","E. coli","Both",1,"041","infectious diseases"
"041.8","H. pylori","Both",1,"041","infectious diseases"
"041.12","Methicillin resistant Staphylococcus aureus","Both",1,"041","infectious diseases"
"041.11","Methicillin sensitive Staphylococcus aureus","Both",1,"041","infectious diseases"
"041.1","Staphylococcus infections","Both",0,"041","infectious diseases"
"244.2","Acquired hypothyroidism","Both",1,"244","endocrine/metabolic"
"380.1","Otitis externa","Both",1,"380.1","sense organs"
"290.1","Dementias","Both",0,"290","mental disorders"
"008.6","Viral Enteritis","Both",1,"008","infectious diseases"
"008.5","Bacterial enteritis","Both",0,"008","infectious diseases"
"008.51","Intestinal e.coli","Both",1,"008","infectious diseases"
"153.3","Malignant neoplasm of rectum, rectosigmoid junction, and anus","Both",1,"153","neoplasms"
"153.2","Colon cancer","Both",1,"153","neoplasms"
"327.5","Parasomnia","Both",1,"327","neurological"
"701.4","Keloid scar","Both",1,"701","dermatologic"
"256.4","Polycystic ovaries","Female",1,"256","endocrine/metabolic"
"401.2","Hypertensive heart and/or renal disease","Both",0,"401","circulatory system"
"401.21","Hypertensive heart disease","Both",1,"401","circulatory system"
"401.1","Essential hypertension","Both",1,"401","circulatory system"
"272.9","Unspecified disorder of lipoid metabolism","Both",1,"272","endocrine/metabolic"
"366.1","Nonsenile Cataract","Both",1,"366","sense organs"
"790.6","Other abnormal blood chemistry","Both",1,"790.6","symptoms"
"702.1","Actinic keratosis","Both",1,"702","dermatologic"
"702.2","Seborrheic keratosis","Both",1,"702","dermatologic"
"389.1","Sensorineural hearing loss","Both",1,"389","sense organs"
"389.2","Conductive hearing loss","Both",1,"389","sense organs"
"278.11","Morbid obesity","Both",1,"278","endocrine/metabolic"
"870.1","Open wound or laceration of eye or eyelid","Both",1,"870","injuries & poisonings"
"250.22","Type 2 diabetes with renal manifestations","Both",1,"250","endocrine/metabolic"
"733.8","Malunion and nonunion of fracture","Both",1,"733.8","musculoskeletal"
"701.1","Keratoderma, acquired","Both",1,"701","dermatologic"
"728.7","Fasciitis","Both",0,"728.7","musculoskeletal"
"365.1","Open-angle glaucoma","Both",0,"365","sense organs"
"365.2","Primary angle-closure glaucoma","Both",1,"365","sense organs"
"368.1","Amblyopia","Both",1,"368","sense organs"
"368.2","Diplopia and disorders of binocular vision","Both",1,"368","sense organs"
"368.5","Color vision deficiencies","Both",1,"368.5","sense organs"
"362.21","Macular degeneration, dry","Both",1,"362","sense organs"
"362.22","Macular degeneration, wet","Both",1,"362","sense organs"
"620.1","Dysplasia of cervix","Female",1,"620","genitourinary"
"189.2","Cancer of bladder","Both",0,"189","neoplasms"
"429.2","Abnormal function study of cardiovascular system","Both",1,"429","circulatory system"
"204.2","Myeloid leukemia","Both",0,"204","neoplasms"
"275.51","Hypocalcemia","Both",1,"275","endocrine/metabolic"
"293.1","Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]","Both",1,"293.1","mental disorders"
"281.9","Deficiency anemias","Both",1,"281","hematopoietic"
"283.2","Non-autoimmune hemolytic anemias","Both",0,"283","hematopoietic"
"555.2","Ulcerative colitis","Both",0,"555","digestive"
"564.9","Personal history of diseases of digestive system","Both",1,"564","digestive"
"008.52","Intestinal infection due to C. difficile","Both",1,"008","infectious diseases"
"184.2","Cancer of other female genital organs (excluding uterus and ovary)","Female",1,"184","neoplasms"
"187.2","Malignant neoplasm of testis","Male",1,"187","neoplasms"
"571.5","Other chronic nonalcoholic liver disease","Both",0,"571","digestive"
"571.51","Cirrhosis of liver without mention of alcohol","Both",1,"571","digestive"
"571.6","Primary biliary cirrhosis","Both",1,"571","digestive"
"709.4","Polymyositis","Both",1,"709","dermatologic"
"709.3","Systemic sclerosis","Both",1,"709","dermatologic"
"704.11","Alopecia Areata","Both",1,"704","dermatologic"
"705.3","Hidradenitis","Both",1,"705","dermatologic"
"705.1","Dyshidrosis","Both",1,"705","dermatologic"
"713.5","Arthropathy associated with neurological disorders","Both",1,"713","musculoskeletal"
"714.1","Rheumatoid arthritis","Both",1,"714","musculoskeletal"
"715.1","Sacroiliitis NEC","Both",1,"715","musculoskeletal"
"753.1","Congenital cataract and lens anomalies","Both",1,"753","congenital anomalies"
"720.1","Spinal stenosis of lumbar region","Both",1,"720","musculoskeletal"
"300.2","Generalized anxiety & phobic disorders","Both",1,"300","mental disorders"
"427.21","Atrial fibrillation","Both",1,"427","circulatory system"
"427.22","Atrial flutter","Both",1,"427","circulatory system"
"443.9","Peripheral vascular disease, unspecified","Both",1,"443","circulatory system"
"525.2","Atrophy of edentulous alveolar ridge","Both",1,"525","digestive"
"246.6","Thyroidectomy or lobectomy","Both",0,"246.6","endocrine/metabolic"
"525.1","Loss of teeth or edentulism","Both",1,"525","digestive"
"735.1","Flat foot","Both",1,"735","musculoskeletal"
"735.2","Acquired toe deformities","Both",0,"735","musculoskeletal"
"276.8","Polydipsia","Both",1,"276.8","endocrine/metabolic"
"276.5","Hypovolemia","Both",1,"276","endocrine/metabolic"
"276.41","Acidosis","Both",1,"276.4","endocrine/metabolic"
"276.42","Alkalosis","Both",1,"276.4","endocrine/metabolic"
"276.4","Acid-base balance disorder","Both",0,"276.4","endocrine/metabolic"
"706.1","Acne","Both",1,"706","dermatologic"
"242.2","Toxic multinodular goiter","Both",1,"242","endocrine/metabolic"
"245.2","Chronic thyroiditis","Both",0,"245","endocrine/metabolic"
"245.1","Thyroiditis, acute and subacute","Both",1,"245","endocrine/metabolic"
"714.2","Juvenile rheumatoid arthritis","Both",1,"714","musculoskeletal"
"241.1","Nontoxic uninodular goiter","Both",1,"241","endocrine/metabolic"
"241.2","Nontoxic multinodular goiter","Both",1,"241","endocrine/metabolic"
"244.3","Iodine hypothyroidism","Both",1,"244","endocrine/metabolic"
"246.2","Thyroid cyst","Both",1,"246","endocrine/metabolic"
"110.1","Dermatophytosis","Both",0,"110","infectious diseases"
"053.1","Herpes zoster with nervous system complications","Both",1,"053","infectious diseases"
"251.1","Hypoglycemia","Both",1,"251.1","endocrine/metabolic"
"271.3","Intestinal disaccharidase deficiencies and disaccharide malabsorption","Both",1,"271","endocrine/metabolic"
"274.1","Gout","Both",0,"274","endocrine/metabolic"
"284.1","Pancytopenia","Both",1,"284","hematopoietic"
"285.22","Anemia in neoplastic disease","Both",1,"285","hematopoietic"
"286.5","Hemorrhagic disorder due to intrinsic circulating anticoagulants","Both",1,"286","hematopoietic"
"287.3","Thrombocytopenia","Both",0,"287","hematopoietic"
"287.31","Primary thrombocytopenia","Both",1,"287","hematopoietic"
"379.1","Scleritis and episcleritis","Both",1,"379","sense organs"
"289.4","Lymphadenitis","Both",1,"289.4","hematopoietic"
"289.5","Diseases of spleen","Both",1,"289.5","hematopoietic"
"378.5","Paralytic strabismus","Both",1,"378","sense organs"
"337.1","Peripheral autonomic neuropathy","Both",1,"337","neurological"
"360.3","Hypotony of eye","Both",1,"360","sense organs"
"361.1","Retinal detachment with retinal defect","Both",1,"361","sense organs"
"362.4","Retinal vascular changes and abnomalities","Both",1,"362","sense organs"
"362.6","Peripheral retinal degenerations","Both",1,"362","sense organs"
"362.9","Retinal edema","Both",1,"362","sense organs"
"377.1","Optic atrophy","Both",1,"377","sense organs"
"363.3","Chorioretinal scars","Both",1,"363","sense organs"
"363.4","Choroidal degenerations","Both",1,"363","sense organs"
"374.3","Ptosis of eyelid","Both",1,"374","sense organs"
"374.1","Ectropion or entropion","Both",1,"374","sense organs"
"626.1","Irregular menstrual cycle/bleeding","Female",0,"626","genitourinary"
"626.11","Absent or infrequent menstruation","Female",1,"626","genitourinary"
"626.12","Excessive or frequent menstruation","Female",1,"626","genitourinary"
"601.1","Prostatitis","Male",0,"601","genitourinary"
"610.1","Cystic mastopathy","Female",1,"610","genitourinary"
"622.1","Polyp of corpus uteri","Female",1,"622","genitourinary"
"627.2","Symptomatic menopause","Female",0,"627","genitourinary"
"686.1","Carbuncle and furuncle","Both",1,"686.1","dermatologic"
"703.1","Ingrowing nail","Both",1,"703.1","dermatologic"
"440.1","Atherosclerosis of renal artery","Both",1,"440","circulatory system"
"378.1","Strabismus (not specified as paralytic)","Both",1,"378","sense organs"
"379.4","Anomalies of pupillary function","Both",1,"379","sense organs"
"379.3","Aphakia and other disorders of lens","Both",1,"379","sense organs"
"385.3","Cholesteatoma","Both",1,"385","sense organs"
"386.3","Labyrinthitis","Both",1,"386","sense organs"
"386.21","Central origin vertigo","Both",1,"386","sense organs"
"394.1","Mitral valve stenosis and aortic valve stenosis","Both",1,"394","circulatory system"
"394.7","Disease of tricuspid valve","Both",1,"394","circulatory system"
"411.1","Unstable angina (intermediate coronary syndrome)","Both",1,"411","circulatory system"
"411.2","Myocardial infarction","Both",1,"411","circulatory system"
"440.9","Atherosclerosis of aorta","Both",1,"440","circulatory system"
"446.5","Giant cell arteritis","Both",1,"446","circulatory system"
"440.2","Atherosclerosis of the extremities","Both",0,"440","circulatory system"
"447.1","Stricture of artery","Both",1,"447","circulatory system"
"627.3","Postmenopausal atrophic vaginitis","Female",1,"627","genitourinary"
"451.2","Phlebitis and thrombophlebitis of lower extremities","Both",1,"451","circulatory system"
"458.1","Orthostatic hypotension","Both",1,"458","circulatory system"
"459.9","Circulatory disease NEC","Both",1,"459","circulatory system"
"426.7","Abnormal electrocardiogram [ECG] [EKG]","Both",1,"426","circulatory system"
"459.7","Blood vessel replaced","Both",1,"459","circulatory system"
"519.1","Tracheostomy complications","Both",1,"519.1","respiratory"
"521.1","Dental caries","Both",1,"521","digestive"
"521.2","Dental abrasion, erosion and attrition","Both",1,"521","digestive"
"522.1","Pulpitis and necrosis of tooth pulp","Both",1,"522","digestive"
"522.5","Periapical abscess","Both",1,"522","digestive"
"523.3","Periodontitis (acute or chronic)","Both",0,"523","digestive"
"523.1","Gingivitis","Both",1,"523","digestive"
"524.3","Anomalies of tooth position/malocclusion","Both",1,"524","digestive"
"530.3","Stricture and stenosis of esophagus","Both",1,"530","digestive"
"530.5","Disorders of esophageal motility","Both",1,"530","digestive"
"531.2","Gastric ulcer","Both",1,"531","digestive"
"531.4","Peptic ulcer, site unspecified","Both",1,"531","digestive"
"531.3","Duodenal ulcer","Both",1,"531","digestive"
"535.1","Acute gastritis","Both",1,"535","digestive"
"535.6","Duodenitis","Both",1,"535","digestive"
"569.1","Toxic gastroenteritis and colitis","Both",1,"569","digestive"
"574.1","Cholelithiasis","Both",0,"574","digestive"
"574.11","Cholelithiasis with acute cholecystitis","Both",1,"574","digestive"
"575.1","Cholangitis","Both",1,"575","digestive"
"575.6","Cholesterolosis of gallbladder","Both",1,"575","digestive"
"577.1","Acute pancreatitis","Both",1,"577","digestive"
"577.2","Chronic pancreatitis","Both",1,"577","digestive"
"577.3","Cyst and pseudocyst of pancreas","Both",1,"577","digestive"
"578.1","Hematemesis","Both",1,"578","digestive"
"578.2","Blood in stool","Both",1,"578","digestive"
"578.9","Hemorrhage of gastrointestinal tract","Both",1,"578","digestive"
"246.7","Abnormal results of function study of thyroid","Both",1,"246.7","endocrine/metabolic"
"588.1","Renal osteodystrophy","Both",1,"588","genitourinary"
"588.2","Secondary hyperparathyroidism (of renal origin)","Both",1,"588","genitourinary"
"592.2","Urethritis and urethral syndrome","Both",0,"592","genitourinary"
"592.3","Urethral stricture due to infecton","Both",1,"592","genitourinary"
"627.1","Postmenopausal bleeding","Female",1,"627","genitourinary"
"593.2","Microscopic hematuria","Both",1,"593.2","genitourinary"
"596.1","Bladder neck obstruction","Both",1,"596","genitourinary"
"596.5","Functional disorders of bladder","Both",1,"596","genitourinary"
"706.2","Sebaceous cyst","Both",1,"706","dermatologic"
"722.6","Degeneration of intervertebral disc","Both",1,"722","musculoskeletal"
"722.3","Schmorl's nodes","Both",1,"722","musculoskeletal"
"722.1","Displacement of intervertebral disc","Both",1,"722","musculoskeletal"
"711.1","Pyogenic arthritis","Both",1,"711","musculoskeletal"
"288.2","Elevated white blood cell count","Both",1,"288","hematopoietic"
"288.11","Neutropenia","Both",1,"288.1","hematopoietic"
"289.9","Abnormality of red blood cells","Both",1,"289","hematopoietic"
"079.1","Varicella infection","Both",1,"079","infectious diseases"
"250.4","Abnormal glucose","Both",0,"250.4","endocrine/metabolic"
"573.2","Liver replaced by transplant","Both",1,"573.2","digestive"
"573.3","Hepatomegaly","Both",1,"573.3","digestive"
"250.5","Glycosuria or Acetonuria","Both",1,"250","endocrine/metabolic"
"259.1","Nonspecific abnormal results of other endocrine function study","Both",1,"259","endocrine/metabolic"
"260.1","Cachexia","Both",1,"260.1","endocrine/metabolic"
"260.2","severe protein-calorie malnutrition","Both",0,"260","endocrine/metabolic"
"274.11","Gouty arthropathy","Both",1,"274","endocrine/metabolic"
"274.2","Crystal arthropathies","Both",0,"274","endocrine/metabolic"
"244.5","Congenital hypothyroidism","Both",1,"244","endocrine/metabolic"
"038.3","Bacteremia","Both",1,"038","infectious diseases"
"117.1","Histoplasmosis","Both",1,"117","infectious diseases"
"117.2","Coccidioidomycosis","Both",1,"117","infectious diseases"
"573.4","Acute and subacute necrosis of liver","Both",1,"573.4","digestive"
"573.9","Abnormal serum enzyme levels","Both",1,"573.9","digestive"
"031.1","Leprosy","Both",1,"031","infectious diseases"
"041.9","Infection with drug-resistant microorganisms","Both",1,"041","infectious diseases"
"189.21","Malignant neoplasm of bladder","Both",1,"189","neoplasms"
"159.2","Malignant neoplasm of small intestine, including duodenum","Both",1,"159","neoplasms"
"159.3","Malignant neoplasm of gallbladder and extrahepatic bile ducts","Both",1,"159","neoplasms"
"172.2","Other non-epithelial cancer of skin","Both",0,"172","neoplasms"
"172.3","Carcinoma in situ of skin","Both",1,"172","neoplasms"
"174.11","Malignant neoplasm of female breast","Female",1,"174","neoplasms"
"174.2","Breast cancer [male]","Male",1,"174","neoplasms"
"184.11","Malignant neoplasm of ovary","Female",1,"184","neoplasms"
"189.4","Malignant neoplasm of other urinary organs","Both",1,"189","neoplasms"
"189.11","Malignant neoplasm of kidney, except pelvis","Both",1,"189","neoplasms"
"189.12","Malignant neoplasm of renal pelvis","Both",1,"189","neoplasms"
"202.2","Non-Hodgkins lymphoma","Both",0,"202","neoplasms"
"202.21","Nodular lymphoma","Both",1,"202","neoplasms"
"202.22","Reticulosarcoma","Both",1,"202","neoplasms"
"202.23","Lymphosarcoma","Both",1,"202","neoplasms"
"202.24","Large cell lymphoma","Both",1,"202","neoplasms"
"204.11","Lymphoid leukemia, acute","Both",1,"204","neoplasms"
"204.12","Lymphoid leukemia, chronic","Both",1,"204","neoplasms"
"204.21","Myeloid leukemia, acute","Both",1,"204","neoplasms"
"204.22","Myeloid leukemia, chronic","Both",1,"204","neoplasms"
"204.3","Monocytic leukemia","Both",1,"204","neoplasms"
"204.4","Multiple myeloma","Both",1,"204","neoplasms"
"149","Cancer of larynx, pharynx, nasal cavities","Both",0,"149","neoplasms"
"149.1","Cancer of oropharynx","Both",1,"149","neoplasms"
"149.2","Cancer of nasopharynx","Both",1,"149","neoplasms"
"149.3","Cancer of hypopharynx","Both",1,"149","neoplasms"
"149.4","Cancer of larynx","Both",1,"149","neoplasms"
"149.5","Hx of malignant neoplasm of oral cavity and pharynx","Both",1,"149","neoplasms"
"145.1","Cancer of lip","Both",1,"145","neoplasms"
"145.2","Cancer of tongue","Both",1,"145","neoplasms"
"145.3","Cancer of major salivary glands","Both",1,"145","neoplasms"
"145.4","Cancer of the gums","Both",1,"145","neoplasms"
"145.5","Cancer of the mouth floor","Both",1,"145","neoplasms"
"145","Cancer of mouth","Both",0,"145","neoplasms"
"149.9","Cancer of of nasal cavities","Both",1,"149","neoplasms"
"270.2","Disorders of amino-acid metabolism","Both",0,"270","endocrine/metabolic"
"198.1","Secondary malignancy of lymph nodes","Both",1,"198","neoplasms"
"198.2","Secondary malignancy of respiratory organs","Both",1,"198","neoplasms"
"198.3","Secondary malignant neoplasm of digestive systems","Both",1,"198","neoplasms"
"198.4","Secondary malignant neoplasm of liver","Both",1,"198","neoplasms"
"198.5","Secondary malignancy of brain/spine","Both",1,"198","neoplasms"
"198.6","Secondary malignancy of bone","Both",1,"198","neoplasms"
